true,pred_raw,pred_smoothed
-201.17992,-203.1820178149579,-202.66068861020918
-202.05215,-202.95800609463967,-202.70969313379476
-201.1944,-205.74695780985456,-203.28177075339838
-201.05879,-206.28040981744493,-203.87116137728407
-200.65556,-204.46329978914483,-204.02740936165605
-201.32135,-204.07629271109303,-204.08479778844244
-200.47725,-203.32692444405563,-203.98881739262885
-200.17976,-202.54488031170206,-203.75586595738687
-200.40024,-205.21002848670292,-204.06144359163417
-199.96982,-203.97232130046962,-204.08528295894087
-199.89641,-202.37181498467353,-203.79936702987328
-199.77382,-202.54764978697605,-203.58690821931407
-200.7291,-204.28111945701409,-203.73378323574494
-199.77449,-202.6063191368592,-203.5400133004372
-200.51659,-200.40666330757912,-202.95578810363895
-199.67238,-204.30136215447882,-203.19706722718269
-201.03787,-201.94515741906795,-202.95586736679803
-200.29135,-201.7904985755204,-202.72100320013504
-202.01831,-201.58618423404457,-202.48263845401152
-201.51665,-202.65939064256273,-202.48450768507027
-202.30173,-203.276113541351,-202.60494794257255
-201.76431,-204.2452903065381,-202.8933597925227
-202.57953,-205.4621976376519,-203.37170508903415
-202.02162,-203.153445190678,-203.3414067397695
-202.50858,-201.64070647596756,-203.02756510557924
-201.2562,-201.38335080082356,-202.71058721731168
-201.47244,-199.7075315408219,-202.12215710424974
-201.085,-198.99148114559307,-201.48533288194176
-200.90167,-197.67463674679152,-200.69436630873662
-201.25656,-198.33862274762123,-200.1496434289786
-201.51906,-198.2492363793179,-199.67332427958343
-200.84052,-198.789477328868,-199.37591066998522
-201.45467,-199.54861636814283,-199.27337773026164
-201.07501,-197.56814885837036,-198.81678960860765
-200.61975,-196.38765121164838,-198.21017226968831
-200.87566,-197.8084053935687,-197.9705303091482
-200.90144,-198.94162189347657,-197.99011020693737
-201.20807,-195.782228907967,-197.41520037376515
-201.28453,-196.96560617956706,-197.15803537584165
-201.1436,-196.38562986453968,-196.83761193570567
-200.88281,-196.88299109872904,-196.66804776297985
-200.4896,-197.36612953778402,-196.62464651984988
-199.83585,-198.85114675559018,-196.87905961447711
-200.21358,-198.07327051333897,-196.95705860650855
-199.5565,-199.40328731563284,-197.2841031015582
-199.90834,-198.0526604088263,-197.31358187239587
-199.70317,-200.1924323846782,-197.75140713755056
-200.17264,-199.73142827944025,-198.04286507480197
-199.82729,-204.15240294327154,-199.1358168221499
-200.67615,-204.6385606604579,-200.16364356497834
-199.91975,-203.45956437520667,-200.81692310342643
-200.40253,-205.11746266848948,-201.6875066180109
-199.81288,-204.56933174195902,-202.3228339492884
-200.20468,-205.15357182054976,-202.97091968048207
-199.50111,-201.81918198174586,-202.8841615747769
-200.16675,-199.5466925629763,-202.37146472365913
-199.71266,-201.22843810377634,-202.24746420539896
-200.45702,-201.02403507804672,-202.09799694970334
-200.30986,-197.50718852188817,-201.29798800820322
-200.94035,-201.0938652096167,-201.2935413413934
-200.49707,-202.2029646949621,-201.4986716821753
-201.5006,-198.20366854382794,-200.91200391962101
-201.92003,-200.31358843322167,-200.8106044571789
-201.52718,-200.7389215157765,-200.80431401804668
-201.25215,-198.8983575802854,-200.44885768958355
-200.74101,-199.0927148538482,-200.18236094441232
-201.0567,-199.49701994907872,-200.0324200880119
-200.40071,-202.82265830887852,-200.53748528130012
-201.18022,-202.16802055047236,-200.84505864404224
-200.54492,-200.25716814409364,-200.74436072971568
-202.22511,-200.95529706359653,-200.79056798796051
-201.6049,-197.63165847415016,-200.19815182590037
-202.92282,-195.64311578224272,-199.31480668965173
-202.34224,-197.46771240364353,-198.90925357828237
-203.30997,-196.10247672636365,-198.30694536764366
-202.99646,-196.85261849404492,-197.93955796647293
-203.37466,-198.67166321092583,-197.9767232730077
-202.9168,-198.41551410675325,-197.96510824088728
-203.23932,-197.5675124400556,-197.79908380685583
-202.62207,-200.433586382846,-198.20684235075254
-202.3768,-200.6910647116432,-198.6083150941013
-201.51285,-198.6965190633145,-198.57537183920675
-201.39714,-197.86578801952282,-198.3920603766628
-200.66899,-199.60999731786558,-198.56971513511596
-200.93248,-199.62354964550082,-198.72659325354118
-200.45528,-197.70558425600896,-198.4982206693818
-200.74997,-200.1449053832067,-198.7687835262465
-200.13048,-201.7459195500027,-199.30589335056777
-200.86264,-200.2369189519615,-199.4786424566345
-200.44087,-200.5278319538804,-199.6814254678664
-200.02788,-199.7122258186698,-199.6991786061344
-199.82848,-202.34711374380845,-200.21431782603318
-200.30664,-205.7559830097057,-201.3005937138494
-201.07385,-202.0812126824399,-201.52682471375857
-200.69891,-199.94096729480427,-201.30896907972107
-200.85767,-200.68845115477768,-201.26084793169645
-200.36856,-201.1550744970925,-201.30480426906712
-201.0316,-199.34746240973917,-200.9954653080205
-199.9838,-202.18246339194087,-201.26707090720828
-200.40887,-201.51872075498397,-201.37011426637588
-199.59042,-205.0547484323771,-202.12691071089245
-200.56644,-203.83295290449908,-202.53705305786883
-199.69699,-205.19027741377886,-203.1401190141492
-199.72203,-208.06680345763712,-204.19564397106566
-199.18076,-204.92060794722306,-204.49155363405504
-199.63591,-207.16769852590912,-205.16247821415848
-199.18774,-206.3736034141992,-205.57510125593484
-199.99768,-205.47083983397528,-205.7457858611138
-199.6322,-204.40037346471152,-205.67790232087725
-199.48492,-203.85008539192748,-205.505586630895
-198.58655,-201.29186725689863,-204.86339446396423
